table_nme,process,recordset
nm_com_sub_type,ins_nm_com_sub_type,lv_nm_com_sub_type
nm_commodity_type,ins_nm_commodity_type,lv_commodity_type
nm_config_parm,ins_nm_config_parm,lv_nm_config_parm
nm_config_parm_lookup_type,ins_nm_config_parm_lookup_type,lv_nm_config_parm_lookup_type
nm_config_parm_lookup_val,ins_nm_config_parm_lookup_val,lv_nm_config_parm_lookup_val
nm_constant_defn,ins_nm_constant_defn,lv_nm_constant_defn
nm_constant_value,ins_nm_constant_value,lv_nm_constant_value
nm_contract_xref_type,ins_nm_contract_xref_type,lv_nm_contract_xref_type
nm_counter_party,ins_nm_counter_party,lv_counter_party
nm_external_system_type,ins_nm_external_system_type,lv_nm_external_system_type
nm_function,insert_nm_function,lv_function_rec
nm_impexpconfig_columns_dtl,insert_nm_impexpconfig_col_dtl,lv_ieccd_rec
nm_importexportconfig,insert_nm_importexportconfig,lv_iec_rec
nm_intrfc_rpt_ptcpt_xref,ins_intrfc_rpt_ptcpt_xref,lv_intrfc_rpt_ptcpt_xref
nm_intrfc_rpt_rtn_xref,ins_intrfc_rpt_rtn_xref,lv_intrfc_rpt_rtn_xref
nm_intrfc_rpt_type,insert_nm_intrfc_rpt_type,lv_rpt_type_rec
nm_intrfc_table_edit_config,ins_intrfc_table_edit_config,lv_intrfc_table_edit_config
nm_invoice_item_dtl_type,ins_nm_invoice_item_dtl_type,lv_iidt_rec
nm_invoice_pub_type,ins_invoice_pub_type,lv_invoice_pub_type
nm_mkt_volume_type,ins_nm_mkt_volume_type,lv_mvt_rec
nm_notification_type,ins_nm_notification_type,lv_nm_notification_type
nm_other_mkt_data_type,ins_nm_other_mkt_data_type,lv_omdt_rec
nm_price_other_type,ins_nm_price_other_type,lv_pot_rec
nm_process_job_type,insert_nm_process_job_type,lv_job_type_rec
nm_rate_type,ins_nm_rate_type,lv_nm_rate_type
nm_routine_type,ins_routine_type,lv_routine_type
nm_schdr_task,insert_nm_schdr_task,lv_task_rec
nm_schdr_task_parm,insert_nm_schdr_task_parm,lv_task_parm_rec
nm_schedule_approval_type,ins_nm_schedule_approval_type,lv_nm_schedule_approval_type
nm_schedule_bid_xref_type,ins_nm_schedule_bid_xref_type,lv_nm_schedule_bid_xref_type
nm_schedule_disp_meth_type,ins_nm_schdl_disp_meth_type,lv_nm_schdl_disp_meth_type
nm_schedule_disp_rsn_type,ins_nm_schdl_disp_rsn_type,lv_nm_schedule_disp_rsn_type
nm_schedule_disp_xp_com_xref,ins_nm_schdl_disp_xref,lv_nm_schdl_disp_xref
nm_schedule_ftr_nme_type,ins_nm_schedule_ftr_nme_type,lv_schedule_ftr_nme_type
nm_schedule_type,ins_nm_schedule_type,lv_nm_schedule_type
nm_schedule_xref_type,ins_nm_schedule_xref_type,lv_nm_schedule_xref_type
nm_sttl_comp_rtn_xref,ins_sttl_comp_rtn_xref,lv_sttl_comp_rtn_xref
nm_sttl_component_type,insert_nm_sttl_component_type,lv_sct_rec
pjm_sttl_component_5min_type,ins_pjm_sttl_comp15_type,lv_comp15_rec
pjm_sttl_ld_gtcol_xref,ins_pjm_gtcol_xref,lv_gtcol_xref
nm_sttl_ct_comp_vfy,ins_sttl_ct_comp_vfy,lv_sttl_ct_comp_vfy
nm_sttl_ct_vfy,ins_sttl_ct_vfy,lv_sttl_ct_vfy
nm_sttl_item_comp_xref_type,insert_nm_sttl_item_comp_xt,lv_sicxt_rec
nm_sttl_item_dtl_type,insert_nm_sttl_item_dtl_type,lv_stidt_rec
nm_sttl_item_dtl_type_master,insert_nm_sttl_item_dtl_type_m,lv_stidt_master_rec
nm_sttl_item_dtl_type_ref,ins_nm_sttl_item_dtl_type_ref,lv_nm_sttl_item_dtl_type_ref
nm_sttl_stltyp_chgrp_xref_type,insert_nm_sttl_stltyp_chgrp_xt,lv_stcgxt_rec
nm_sttl_type,insert_nm_sttl_type,lv_st_rec
nm_sttlitmdtl_chggrp_xref_type,insert_nm_sttlitmdtl_chggrp_xt,lv_stidcgxt_rec
nm_timeframe,ins_nm_timeframe,lv_timeframe
nm_unt_parm_type,ins_nm_unt_parm_type,lv_upt_rec
nm_unt_parm_xref_type,ins_nm_unt_parm_xref_type,lv_nm_unt_parm_xref_type
nm_parm_time,ins_nm_parm_time,lv_nm_parm_time
nm_untparm_group,ins_nm_untparm_group,lv_nm_untparm_group
nm_untparm_group_instance,ins_untparm_group_instance,lv_untparm_group_instance
nm_uom,ins_nm_uom,lv_nm_uom
nm_xp_type,ins_nm_xp_type,lv_nm_xp_type
pjm_excl_type,ins_pjm_excl_type,lv_pjm_excl_type
pjm_holiday_calendar,ins_pjm_holiday_calendar,lv_pjm_holiday_calendar
pjm_sttl_comp_mktrpt_map,ins_pjm_sttl_comp_mktrpt_map,lv_pscmm_rec
nm_sttl_stmtchggrp_master,insert_nm_sttl_stcg_master,lv_nm_sttl_stcg_master_rec
nm_schdr_job_task_xref,ins_nm_schdr_job_task_xref ,lv_nm_schdr_job_task_xref
pjm_unt_parm_config_cd_xref,ins_pjm_untparm_config_cd_xref,lv_pjm_unt_parm_config_cd_xref
nm_xp_subtype,ins_nm_xp_subtype,lv_nm_xp_subtype
